City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Calexico city, California","38,572","38,573","38,661","38,927","39,147","39,298","39,550","39,767","40,028","40,083","40,072","39,825"
"California City city, California","14,120","14,120","13,467","12,834","13,344","13,202","13,203","13,202","13,656","13,884","14,167","14,198"
"Calimesa city, California","7,879","7,882","7,918","7,997","8,092","8,201","8,380","8,493","8,621","8,807","8,944","9,160"
"Calipatria city, California","7,705","7,694","7,689","7,684","7,986","7,083","7,491","7,391","7,505","7,539","7,418","7,114"
"Calistoga city, California","5,155","5,168","5,174","5,204","5,224","5,256","5,274","5,285","5,285","5,241","5,300","5,247"
"Camarillo city, California","65,201","65,156","65,257","65,515","65,656","65,882","66,517","67,171","67,141","67,403","68,883","69,888"
"Campbell city, California","39,349","40,580","40,669","41,027","41,519","41,891","42,256","42,262","42,303","42,567","42,243","41,793"
"Canyon Lake city, California","10,561","10,553","10,599","10,699","10,783","10,861","10,945","11,007","11,095","11,188","11,251","11,280"
"Capitola city, California","9,918","9,917","9,925","9,968","10,010","10,066","10,114","10,166","10,178","10,152","10,073","10,010"
"Carlsbad city, California","105,328","105,328","105,674","107,460","108,948","110,665","111,609","112,662","113,265","114,477","115,518","115,382"
"Carmel-by-the-Sea city, California","3,722","3,678","3,687","3,716","3,749","3,780","3,804","3,821","3,836","3,822","3,815","3,811"
"Carpinteria city, California","13,040","13,003","13,013","13,021","13,144","13,460","13,565","13,605","13,598","13,540","13,436","13,385"
"Carson city, California","91,714","91,711","91,599","91,690","92,162","92,535","92,684","92,752","92,572","92,193","91,626","91,394"
"Cathedral City city, California","51,200","51,230","51,452","52,077","52,478","52,846","53,187","53,516","53,943","54,413","54,793","55,007"
"Ceres city, California","45,417","45,843","45,901","46,057","46,263","46,482","46,918","47,431","47,985","48,340","48,540","48,706"
"Cerritos city, California","49,041","49,043","49,042","49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288","49,859"
"Chico city, California","86,187","86,798","86,783","87,269","87,915","88,362","89,491","90,369","91,564","93,066","94,342","103,301"
"Chino city, California","77,983","78,069","78,644","79,591","79,949","80,799","84,296","85,169","87,468","89,601","91,356","94,371"
"Chino Hills city, California","74,799","74,792","74,963","75,639","76,042","76,285","76,509","77,826","78,452","80,115","83,239","83,853"
"Chowchilla city, California","18,720","18,785","18,718","18,892","18,049","17,357","18,843","18,391","18,179","18,457","18,709","18,310"
"Chula Vista city, California","243,916","243,923","244,648","248,318","252,379","256,691","259,885","264,206","266,238","269,046","270,819","274,492"
"Citrus Heights city, California","83,301","83,184","83,273","83,781","84,308","84,924","85,665","86,543","87,179","87,675","87,707","87,796"
"Claremont city, California","34,926","34,878","34,899","35,190","35,281","35,650","35,715","35,962","35,889","35,835","36,370","36,266"
"Clayton city, California","10,897","10,918","10,958","11,148","11,271","11,481","11,667","11,840","12,008","12,127","12,196","12,265"
"Clearlake city, California","15,250","15,250","15,267","15,139","15,067","15,015","15,052","15,101","15,526","15,532","15,355","15,267"
"Cloverdale city, California","8,618","8,614","8,621","8,650","8,665","8,716","8,754","8,774","8,781","8,741","8,844","8,656"
"Clovis city, California","95,631","95,980","96,386","97,557","98,588","99,631","101,904","103,828","106,353","109,316","111,824","114,584"
"Coachella city, California","40,704","40,708","40,984","41,878","42,571","42,960","43,885","44,344","44,785","45,280","45,751","45,743"
"Coalinga city, California","13,380","18,342","18,330","18,303","17,055","16,974","16,647","16,755","16,827","16,988","16,774","17,179"
"Colfax city, California","1,963","1,950","1,957","1,975","1,987","1,996","2,000","1,994","1,997","1,999","1,996","2,002"
"Colma town, California","1,792","1,433","1,435","1,451","1,470","1,484","1,497","1,505","1,500","1,493","1,492","1,489"
"Colton city, California","52,154","52,148","52,261","52,712","52,945","53,105","53,706","54,291","54,507","54,680","54,637","54,824"
"Colusa city, California","5,971","6,222","6,229","6,190","6,190","6,171","6,126","6,105","6,156","6,146","6,094","6,060"
"Commerce city, California","12,823","12,840","12,840","12,887","12,929","12,960","12,964","12,963","12,922","12,862","12,762","12,661"
"Compton city, California","96,455","96,404","96,442","96,933","97,350","97,600","97,634","97,639","97,281","97,047","96,348","95,605"
"Concord city, California","122,067","122,169","122,505","123,518","124,678","125,888","127,128","128,303","129,036","129,592","129,743","129,295"
"Corcoran city, California","24,813","24,823","24,467","24,133","23,694","23,350","22,834","22,516","22,716","21,820","21,720","21,960"
"Corning city, California","7,663","7,663","7,676","7,643","7,612","7,550","7,516","7,531","7,546","7,582","7,564","7,710"
"Corona city, California","152,374","152,315","153,052","154,693","157,405","158,763","160,419","163,154","166,067","167,310","168,476","169,868"
"Coronado city, California","18,912","24,701","23,961","23,336","23,194","23,347","23,549","23,682","25,084","24,323","21,336","23,731"
"Corte Madera town, California","9,253","9,265","9,273","9,350","9,386","9,469","9,908","9,899","9,864","9,820","9,803","9,751"
"Costa Mesa city, California","109,960","110,078","110,221","111,151","111,790","112,244","112,485","112,808","112,933","113,665","113,302","113,003"
"Cotati city, California","7,265","7,265","7,273","7,303","7,320","7,375","7,411","7,427","7,443","7,451","7,584","7,410"
"Covina city, California","47,796","47,786","47,785","47,963","48,211","48,350","48,538","48,569","48,393","48,178","47,820","47,450"
"Crescent City city, California","7,643","7,640","7,596","7,517","7,393","7,169","6,780","6,767","6,644","6,386","6,805","6,787"
"Cudahy city, California","23,805","23,809","23,809","23,901","23,987","24,050","24,070","24,111","24,039","23,934","23,755","23,569"
"Culver City city, California","38,883","38,895","38,888","39,024","39,208","39,312","39,329","39,369","39,231","39,024","39,059","39,185"
"Cupertino city, California","58,302","58,559","58,689","59,172","59,769","60,198","60,592","60,519","60,900","60,588","60,004","59,276"
"Cypress city, California","47,802","47,865","47,957","48,399","48,677","48,971","48,936","48,994","48,813","48,835","48,826","49,006"
"Daly City city, California","101,123","101,116","101,262","102,460","103,915","104,980","105,887","106,538","106,882","106,733","106,869","106,280"
"Dana Point city, California","33,351","33,290","33,336","33,634","33,830","33,962","33,927","33,968","33,931","33,768","33,629","33,577"
"Danville town, California","42,039","41,865","41,987","42,379","42,801","43,262","43,817","44,311","44,715","44,727","44,683","44,510"
"Davis city, California","65,622","65,639","65,584","65,657","65,781","66,213","66,545","67,367","68,028","68,802","69,220","69,413"
"Delano city, California","53,041","53,044","53,130","53,620","52,403","52,331","52,447","52,495","52,568","52,877","52,921","53,573"
"Del Mar city, California","4,161","4,163","4,173","4,202","4,236","4,273","4,299","4,330","4,348","4,340","4,335","4,319"
"Del Rey Oaks city, California","1,624","1,624","1,628","1,640","1,655","1,664","1,670","1,674","1,679","1,672","1,662","1,654"
"Desert Hot Springs city, California","25,938","27,054","27,172","27,422","27,628","27,817","28,008","28,145","28,397","28,648","28,815","28,878"
"Diamond Bar city, California","55,544","55,568","55,588","55,854","56,087","56,233","56,279","56,429","56,581","56,334","56,106","55,720"
"Dinuba city, California","21,453","21,460","21,570","22,606","22,809","23,233","23,528","23,554","23,875","23,903","24,236","24,461"
"Dixon city, California","18,351","18,417","18,431","18,490","18,619","18,931","19,098","19,299","19,766","20,138","20,478","20,698"
"Dorris city, California",939,939,941,930,915,902,900,903,902,903,898,897
"Dos Palos city, California","4,950","4,950","4,962","5,003","5,017","5,026","5,046","5,084","5,217","5,407","5,502","5,527"
"Downey city, California","111,772","111,775","111,785","112,215","112,582","112,858","113,091","113,260","112,896","112,426","111,915","111,126"
"Duarte city, California","21,321","21,325","21,348","21,425","21,601","21,646","21,808","21,809","21,725","21,624","21,454","21,271"
"Dublin city, California","46,036","46,036","45,903","46,804","48,700","52,027","54,554","57,545","59,579","60,797","63,423","64,826"
"Dunsmuir city, California","1,650","1,640","1,640","1,619","1,595","1,572","1,567","1,571","1,571","1,572","1,568","1,564"
"East Palo Alto city, California","28,155","28,155","28,222","28,551","28,926","29,212","29,482","29,661","29,811","29,671","29,486","29,314"
"Eastvale city, California",(X),"53,712","54,054","54,966","55,627","56,247","57,386","59,231","60,670","62,309","63,815","64,157"
"El Cajon city, California","99,478","99,584","99,823","100,795","101,537","102,303","102,789","103,230","103,527","103,468","103,041","102,708"
"El Centro city, California","42,598","42,588","42,678","42,977","43,023","43,316","43,496","43,655","44,028","44,114","44,089","44,079"
"El Cerrito city, California","23,549","23,585","23,644","23,845","24,074","24,323","24,551","24,902","25,458","25,468","25,607","25,508"
"Elk Grove city, California","153,015","152,995","153,375","155,615","158,083","160,251","162,701","165,997","169,156","171,425","172,603","174,775"
"El Monte city, California","113,475","113,531","113,677","114,101","114,843","115,414","115,627","115,824","115,550","115,514","115,308","115,487"
