zip,city,population,SeptIncid,tests_2020_03,tests_2020_04,tests_2020_05,tests_2020_06,tests_2020_07,tests_2020_08,tests_2020_09,tests_2020_10,tests_2020_11,tests_2020_12,tests_2021_01,tests_2021_02,tests_2021_03,tests_2021_04,tests_2021_05,tests_2021_06,tests_2021_07,tests_2021_08,tests_2021_09,tests_2021_10,tests_2021_11,tests_2021_12,tests_2022_01,tests_2022_02,tests_2022_03,tests_2022_04,cases_2020_03,cases_2020_04,cases_2020_05,cases_2020_06,cases_2020_07,cases_2020_08,cases_2020_09,cases_2020_10,cases_2020_11,cases_2020_12,cases_2021_01,cases_2021_02,cases_2021_03,cases_2021_04,cases_2021_05,cases_2021_06,cases_2021_07,cases_2021_08,cases_2021_09,cases_2021_10,cases_2021_11,cases_2021_12,cases_2022_01,cases_2022_02,cases_2022_03,cases_2022_04
92624,Capistrano Beach,7215,20.69536424,35,48,109,316,515,222,303,523,631,1053,859,420,491,485,430,417,449,807,859,758,800,910,1518,724,491,321,4,2,5,25,42,11,8,12,51,184,128,25,4,3,1,5,31,77,37,17,50,98,335,45,7,7
92625,Corona Del Mar,12540,4.007052412,62,117,222,397,506,434,531,633,964,1399,1360,916,1027,1005,763,632,587,902,1027,827,874,1526,1687,925,609,365,17,2,6,33,48,5,4,8,23,99,104,35,12,11,6,9,31,61,31,30,26,182,273,27,9,13
92626,Costa Mesa,52228,23.30718875,110,292,875,1887,3525,6947,5718,6474,8574,12591,10486,5532,5847,5449,4876,4170,3900,6448,5895,5579,6220,9527,13168,5248,4349,2417,12,21,39,247,334,112,62,184,399,1397,1329,272,93,78,28,27,284,448,222,163,279,1818,3397,317,73,86
92627,Costa Mesa,64900,22.76052674,133,381,1090,2452,3380,2774,2672,3534,5384,11177,11226,5366,5110,4229,3346,2633,3420,5651,5724,4927,5165,7920,13049,5171,3928,2310,11,14,94,339,472,268,94,135,446,1903,1741,371,120,104,30,66,333,455,201,164,220,1208,3654,352,80,79
92629,Dana Point,26930,34.94331418,98,200,412,880,953,802,947,1285,1908,2841,2661,1772,1862,1655,1485,1303,1552,2221,2555,2353,2313,3177,4301,2182,1728,1017,12,13,7,57,85,24,35,33,113,349,370,107,41,19,18,19,131,183,136,96,89,430,941,122,57,31
92630,Lake Forest,65142,32.10435605,158,414,1055,2291,3362,2659,2857,3994,5926,9409,8887,5048,4672,3671,3305,3160,3470,5862,6145,5883,5571,8846,14081,5695,4196,2571,14,22,49,230,457,90,118,85,396,1379,1235,307,69,57,15,46,192,490,274,222,172,1133,3459,412,92,77
92637,Laguna Woods,16999,0,75,220,498,735,836,812,1235,1025,1334,2139,2014,1237,1305,1135,1037,887,954,1854,1392,1329,1486,2071,3058,1687,1084,670,6,12,7,17,24,9,41,15,44,158,190,54,7,5,1,3,27,59,38,20,47,111,366,68,18,22
92646,Huntington Beach,56496,9.959437926,145,438,1094,2093,2548,2178,2332,3344,4709,7368,7074,4336,3950,3504,3074,2669,3206,5117,4844,5290,5641,7564,10567,4903,4308,2696,10,22,25,154,202,49,45,65,257,1021,876,271,92,83,52,36,214,412,179,177,188,990,2429,258,55,66
92647,Huntington Beach,60269,13.97501965,115,694,1298,2170,2802,2339,2433,3222,4496,8912,8923,5438,4380,3780,3375,2857,3695,5850,5892,6231,6025,8457,13194,5926,4856,2831,20,119,80,277,356,143,75,98,362,1391,1203,358,132,89,22,28,329,532,245,219,196,1107,3126,346,115,79
92648,Huntington Beach,47906,25.37679017,116,500,986,1910,2440,2317,2634,3427,5052,7111,6627,3712,3590,3274,2713,2515,2908,4502,4401,4377,4611,6621,9216,4859,3631,2185,9,57,54,215,237,139,69,83,234,861,726,203,72,63,45,33,272,401,165,130,127,857,1879,224,53,64
92649,Huntington Beach,33800,26.18365524,105,286,772,1613,1918,1943,1927,2227,2802,4402,4007,2598,2449,2346,1912,1710,2074,3236,3428,3295,3507,5032,6675,3267,2741,1593,17,34,22,143,136,34,38,50,130,545,467,126,44,46,16,17,192,305,117,114,86,561,1453,183,57,47
92651,Laguna Beach,25316,16.74971735,193,267,504,927,1032,958,1072,1317,2021,2487,2490,1780,1790,2077,1252,1371,1475,2256,2525,2231,2128,3100,4096,1872,1532,927,40,11,4,41,65,23,24,33,96,193,232,75,31,40,15,21,101,152,87,64,52,423,762,97,25,44
92653,Laguna Hills,29183,15.36308081,105,318,745,1275,1739,1345,1652,1798,2657,4275,4837,2744,2396,2133,1921,1646,1838,3227,3382,2824,2920,4550,7007,3109,2001,1360,6,20,23,103,143,47,48,39,166,639,572,111,35,25,9,10,108,205,111,79,68,505,1483,154,58,69
