"","City","Population"
"266","Monrovia",36331
"267","Montague",1398
"268","Montclair",40083
"269","Montebello",61954
"270","Monterey",28178
"271","Monterey Park",59669
"272","Monte Sereno",3427
"273","Moorpark",36375
"274","Moraga town",17783
"275","Moreno Valley",213055
"276","Morgan Hill",45952
"277","Morro Bay",10543
"278","Mountain View",82739
"279","Mount Shasta",3274
"280","Murrieta",116223
"281","Napa",78130
"282","National City",61394
"283","Needles",4976
"284","Nevada City",3148
"285","Newark",49149
"286","Newman",11784
"287","Newport Beach",84534
"288","Norco",26604
"289","Norwalk",103949
"290","Novato",55516
"291","Oakdale",23596
"292","Oakland",433031
"293","Oakley",42543
"294","Oceanside",175742
"295","Ojai",7470
"296","Ontario",185010
"297","Orange",138669
"298","Orange Cove",10273
"299","Orinda",19926
"300","Orland",7827
"301","Oroville",20737
"302","Oxnard",208881
"303","Pacifica",38546
"304","Pacific Grove",15413
"305","Palmdale",155079
"306","Palm Desert",53275
"307","Palm Springs",48518
"308","Palo Alto",65364
"309","Palos Verdes Estates",13273
"310","Paradise town",4476
"311","Paramount",53955
"312","Parlier",15618
"313","Pasadena",141029
"314","Patterson",22524
"315","Perris",79291
"316","Petaluma",60520
"317","Pico Rivera",62027
"318","Piedmont",11135
"319","Pinole",19250
"320","Pismo Beach",8168
"321","Pittsburg",72588
"322","Placentia",51233
"323","Placerville",11175
"324","Pleasant Hill",34839
"325","Pleasanton",81777
"326","Plymouth",1076
"327","Point Arena",449
"328","Pomona",151691
"329","Porterville",59599
"330","Port Hueneme",21926
"331","Portola",1930
"332","Portola Valley town",4568
"333","Poway",49323
"334","Rancho Cordova",75087
"335","Rancho Cucamonga",177603
"336","Rancho Mirage",18528
"337","Rancho Palos Verdes",41530
"338","Rancho Santa Margarita",47896
"339","Red Bluff",14539
"340","Redding",92590
"341","Redlands",71513
"342","Redondo Beach",66749
"343","Redwood City",85925
"344","Reedley",25658
"345","Rialto",103526
"346","Richmond",110567
"347","Ridgecrest",28973
"348","Rio Dell",3349
"349","Rio Vista",9718
"350","Ripon",16386
"351","Riverbank",24881
"352","Riverside",331360
"353","Rocklin",68823
"354","Rohnert Park",43291
"355","Rolling Hills",1845
"356","Rolling Hills Estates",8058
"357","Rosemead",54058
"358","Roseville",141500
"359","Ross town",2451
"360","Sacramento",513624
"361","St. Helena",6102
"362","Salinas",155465
"363","San Anselmo town",12476
"364","San Bernardino",215784
"365","San Bruno",42807
"366","San Buenaventura (Ventura)",109106
"367","San Carlos",30185
"368","San Clemente",64558
"369","Sand City",399
"370","San Diego",1423851
"371","San Dimas",33621
"372","San Fernando",24322
"373","San Francisco",881549
"374","San Gabriel",39899
"375","Sanger",25339
"376","San Jacinto",49215
"377","San Joaquin",4021
"378","San Jose",1021795
"379","San Juan Bautista",2104
"380","San Juan Capistrano",35911
"381","San Leandro",88815
"382","San Luis Obispo",47459
"383","San Marcos",96664
"384","San Marino",13048
"385","San Mateo",104430
"386","San Pablo",30990
"387","San Rafael",58440
"388","San Ramon",75995
"389","Santa Ana",332318
"390","Santa Barbara",91364
"391","Santa Clara",130365
"392","Santa Clarita",212979
"393","Santa Cruz",64608
"394","Santa Fe Springs",17630
"395","Santa Maria",107263
"396","Santa Monica",90401
"397","Santa Paula",29806
"398","Santa Rosa",176753
"399","Santee",58081
"400","Saratoga",30153
"401","Sausalito",7068
"402","Scotts Valley",11757
"403","Seal Beach",23896
"404","Seaside",33748
"405","Sebastopol",7674
"406","Selma",24825
"407","Shafter",20401
"408","Shasta Lake",10413
"409","Sierra Madre",10793
"410","Signal Hill",11421
"411","Simi Valley",125613
"412","Solana Beach",13296
"413","Soledad",25999
"414","Solvang",5838
"415","Sonoma",11024
"416","Sonora",4864
"417","South El Monte",20574
"418","South Gate",93444
"419","South Lake Tahoe",22197
"420","South Pasadena",25329
"421","South San Francisco",67789
